104.332.181-00;Michele Gomes;1957-11-07;Roberto Carlos;2024-04-05;Pista Premium;270.78
908.386.379-49;Amanda Silva;1969-04-28;Capital Inicial;2025-03-08;Camarote;307.85
351.161.559-35;Gustavo Oliveira;1996-03-20;Chico Buarque;2024-05-07;VIP;144.62
495.931.034-06;Fernanda Almeida;1964-01-23;Skank;2024-10-11;VIP;601.26
525.534.192-44;Alexandre Almeida;1969-08-29;Zeca Pagodinho;2025-01-23;Camarote;891.41
835.030.564-91;Carlos Rodrigues;2005-11-19;Marisa Monte;2024-11-18;Pista Premium;617.46
672.423.884-65;Michele Gomes;1990-10-31;Djavan;2024-08-12;Pista Premium;497.81
101.226.916-79;Eduardo Cardoso;1996-12-28;Maria Bethânia;2024-09-14;Arquibancada;785.84
018.451.462-20;Tatiane Silva;1978-08-18;Maria Bethânia;2024-07-01;Arquibancada;828.35
489.325.288-70;João Cardoso;1984-01-30;Alcione;2024-01-20;Pista;841.86
430.391.171-22;Alexandre Pereira;1966-07-09;Titãs;2025-05-01;Arquibancada;215.40
896.383.465-40;Vinícius Ribeiro;1995-07-04;Rock in Rio;2024-09-10;Pista Premium;132.50
098.393.010-47;Felipe Santos;1957-10-26;Vintage Culture;2024-12-04;Pista;501.61
473.829.973-59;Leonardo Gomes;1972-01-31;Rock in Rio;2024-04-09;Backstage;433.46
667.010.651-39;Beatriz Rodrigues;1972-01-24;Chico Buarque;2025-04-04;Pista Premium;425.94
473.178.108-60;João Santos;1976-03-16;Jorge & Mateus;2025-02-20;VIP;474.71
602.606.474-54;Débora Alves;1998-08-30;Ivete Sangalo;2024-07-13;Camarote;258.51
098.050.097-42;Fabio Ribeiro;1969-02-14;Anitta;2025-06-04;Pista;778.10
191.361.939-76;Gabriel Oliveira;1962-05-10;Legião Urbana Tribute;2025-11-04;Arquibancada;543.49
543.534.624-07;Tatiane Araujo;1961-07-05;Roberto Carlos;2025-04-14;Arquibancada;898.73
118.384.251-10;Beatriz Fernandes;1980-07-26;Jorge & Mateus;2025-03-24;Arquibancada;656.90
980.841.241-61;Lucas Alves;1968-12-11;Iron Maiden;2024-10-15;Arquibancada;252.72
534.874.016-06;Amanda Oliveira;1955-04-27;Gilberto Gil;2024-05-13;Backstage;883.43
278.680.112-54;Alexandre Oliveira;1988-02-15;Guns N' Roses;2025-07-19;Pista Premium;432.43
045.053.315-80;Daniela Gomes;1968-11-12;Elba Ramalho;2024-08-30;Pista Premium;880.49
260.256.342-03;Lucas Carvalho;1958-06-22;Vintage Culture;2025-04-26;Pista Premium;243.65
754.330.365-53;Amanda Santos;1980-01-16;Djavan;2025-10-18;Arquibancada;407.74
850.142.940-65;Lucas Cardoso;1993-12-26;Djavan;2024-11-17;VIP;577.09
816.934.060-80;Cristina Alves;1972-09-04;Djavan;2025-03-17;Pista;858.08
595.148.465-08;Priscila Lima;2004-09-26;Ivete Sangalo;2024-07-15;VIP;625.24
629.946.804-16;Thiago Rodrigues;1993-07-26;Gusttavo Lima;2025-08-16;Arquibancada;616.86
777.387.214-72;Fabio Cardoso;1985-01-26;Caetano Veloso;2024-08-28;Backstage;334.54
320.037.917-01;André Monteiro;1972-06-11;Capital Inicial;2025-12-14;VIP;485.39
320.163.287-20;Ana Alves;1977-05-10;Elba Ramalho;2024-05-04;VIP;189.34
788.957.986-19;Daniela Martins;1969-04-12;Jota Quest;2025-05-01;VIP;292.54
348.734.714-86;Beatriz Nascimento;1985-02-17;Gilberto Gil;2025-07-07;Pista;193.47
362.316.658-87;Tatiane Gomes;1960-08-02;Marília Mendonça Tribute;2025-03-06;VIP;821.97
909.670.546-72;André Alves;2003-12-30;Gusttavo Lima;2025-09-09;Pista Premium;480.35
467.065.627-93;Rafael Cardoso;2002-12-02;Roberto Carlos;2025-02-07;Arquibancada;542.80
016.272.046-79;Marcelo Rodrigues;1995-10-17;Gilberto Gil;2024-12-11;VIP;308.17
641.708.053-64;Carlos Oliveira;1957-10-13;Coldplay;2024-07-23;Pista;589.50
327.193.745-12;Bruno Cardoso;1965-04-11;Wesley Safadão;2024-06-16;Camarote;168.64
049.663.193-40;Lucas Lima;1965-11-10;Gusttavo Lima;2025-08-02;Pista;364.71
651.850.671-79;Débora Fernandes;1996-03-30;Capital Inicial;2024-06-05;VIP;224.43
849.877.694-50;Marcelo Almeida;1962-10-10;Iron Maiden;2025-04-06;Pista Premium;695.39
996.507.527-14;Larissa Fernandes;1978-03-06;Gilberto Gil;2024-10-13;Arquibancada;654.97
